,category,keywords,pageid
33,Arts & Entertainment>Movies>Action & Adventure Films>Western Films,"[('films', 0.059094495038405775), ('western', 0.03388550631419643), ('movies', 0.019462814728961365), ('films', 0.019122893633766635), ('series', 0.01790201481500077), ('train', 0.016397318493675254), ('production', 0.01546743907423642), ('work', 0.015161662717740517), ('movie', 0.01482834457262329), ('westerns', 0.013897117584988813), ('notable', 0.013286302815025394), ('revisionist', 0.012970506369094758), ('film', 0.010815268381804624), ('man', 0.008884275418913427), ('genre', 0.008678549110184995), ('american', 0.0084664733227361), ('subgenre', 0.006888718242723042)]","[252507, 2402376, 632099, 33785, 65758, 29177, 1160318]"
34,Arts & Entertainment>Movies>Animated Films,"[('ghibli', 0.18961626036003426), ('best', 0.12409879603082667), ('picture', 0.09171278102721989), ('minutes', 0.04282215020448193), ('studio', 0.04138603013238304), ('film', 0.038159571620960515), ('academy', 0.03080663950545096), ('rights', 0.030791734135943948), ('feature', 0.02878564378179526), ('distribution', 0.028265421913835596), ('films', 0.026298720118089126), ('animation', 0.0250329575347402), ('award', 0.023935401353589566), ('category', 0.020061489244560943), ('film', 0.01995726195575686), ('animation', 0.019644946767076774), ('feature', 0.01923844539087587), ('awards', 0.01911035861891696), ('live', 0.017762603574712255), ('action', 0.017756436147775327), ('films', 0.017636890417167553), ('disney', 0.01631700077033055), ('studios', 0.01564748181134154), ('rabbit', 0.012993969975747659), ('disney', 0.011206283047195821), ('animated', 0.010094532583616022), ('characters', 0.009892241117090535)]","[61830, 357220, 5274649, 50116239]"
35,Arts & Entertainment>Movies>Bollywood & South Asian Film,"[('kabir', 0.09788499286401406), ('music', 0.053126892777272706), ('film', 0.05269889740166271), ('bollywood', 0.05126080207597627), ('dances', 0.04918217680516686), ('hindustani', 0.04402519336348638), ('diaries', 0.04177184576832442), ('india', 0.0398415211499465), ('film', 0.03798901008248799), ('hindi', 0.03788813296340256), ('dance', 0.03282133910718144), ('songs', 0.03266118625739659), ('cinema', 0.032101652110436286), ('dixit', 0.03171846558875265), ('bollywood', 0.030067333692412823), ('language', 0.02973936983926878), ('festival', 0.029419718813652393), ('dance', 0.02865651280401256), ('gang', 0.02733205454771142), ('dhoom', 0.026735279813168797), ('films', 0.026288089353746647), ('hindi', 0.02375582206412858), ('selection', 0.023324356383229806), ('form', 0.020772543684709186), ('style', 0.02043823972185723), ('song', 0.020345672787638353), ('indian', 0.017928989337885302), ('raj', 0.017341542674948345), ('group', 0.016338038342456725), ('indian', 0.016106194356494144), ('stars', 0.016080342972466986), ('urdu', 0.014870192689240702), ('language', 0.014209260620546851), ('south', 0.014067157835034403), ('song', 0.01388685654785363), ('regions', 0.013664297453585954), ('industries', 0.013587234645396613), ('films', 0.012499382721590924), ('languages', 0.012311876634927534), ('festival', 0.011679355111197684), ('satyam', 0.011662673096162073), ('khan', 0.01110556527595309), ('words', 0.010897627190592896), ('india', 0.01077511434211984), ('diwan', 0.010680307572062987), ('delhi', 0.010671893563824414), ('official', 0.010652149048158739), ('union', 0.009673900375630035), ('ashish', 0.009642917700368011), ('cinema', 0.009615231984634405), ('songs', 0.009328125101229434), ('music', 0.008243806309304767)]","[4246, 402402, 1828869, 13652, 5508131, 48654703, 5163690, 41141574, 22448394]"
36,Arts & Entertainment>Movies>Classic Films,"[('classic', 0.06402396914363818), ('classics', 0.023357069465064894), ('film', 0.019361289146502526), ('films', 0.01591280295709972), ('film', 0.015506636993603199), ('films', 0.015268974885927093), ('classical', 0.014715343526851485), ('narrative', 0.014529527025441389), ('literature', 0.014438287994986431), ('studios', 0.013436167290761367), ('hollywood', 0.012819104010196695), ('e.g', 0.012169474431721587), ('something', 0.012076274001775257), ('popular', 0.011465905882802706), ('classical', 0.010343779109175083), ('example', 0.010132398406232942), ('car', 0.009899032041835225), ('hollywood', 0.00937339818270121), ('continuity', 0.00926958711818282), ('new', 0.008456392504456331), ('style', 0.00833260609962457), ('film-making', 0.007878840141782131), ('american', 0.007771798233923821), ('actors', 0.007722660942076077), ('visual', 0.0073452439703683816), ('movies', 0.006264015793085234), ('movie', 0.00615830619365533), ('actors', 0.006140434194531233), ('theaters', 0.006069131258580391), ('studio', 0.006056765869668528)]","[418334, 2539634, 5645, 11065202, 10802, 590768]"
37,Arts & Entertainment>Movies>Classic Films>Silent Films,"[('drama', 0.09803564698591555), ('film', 0.08494233982061498), ('barrett', 0.08361836383483905), ('silent', 0.07513530830569336), ('production', 0.06638018663800634), ('first', 0.06313878088511334), ('color', 0.05935678411899123), ('films', 0.04748737413212415), ('year', 0.04350696408393723), ('dialogue', 0.04270677642727665), ('community', 0.0393208964887284), ('silent', 0.024807259752496084), ('music', 0.02352365856051088), ('lantern', 0.023494191302311913), ('international', 0.02051593014174121), ('film', 0.01806346653162049), ('sound', 0.01714609459672638), ('magic', 0.016909466489620533), ('photographs', 0.01669747791704477), ('photograph', 0.01623546769714236), ('university', 0.015425396820139279), ('process', 0.013660162346828306), ('slides', 0.013477603158561904), ('dialogues', 0.013036625318163214), ('form', 0.010487937594275477), ('photo', 0.010197237081171524), ('image', 0.009889368065774885), ('camera', 0.009756416760764199), ('plato', 0.008796179721542561), ('plastic', 0.008725997695216687), ('prints', 0.008460040298612498), ('dialogic', 0.007961055148309453), ('lanterns', 0.007500945128299376), ('era', 0.007388517086610426), ('people', 0.007179858309943413), ('views', 0.006899109009584448), ('image', 0.006651693420414793), ('slide', 0.006183036658388447), ('images', 0.006035492325982362), ('works', 0.006012420108080733), ('english', 0.006003567216132772), ('philosophical', 0.0056129407978959475), ('century', 0.005507334949902629), ('century', 0.00529129517068232), ('projection', 0.005272122879495651), ('edison', 0.005264916319893087), ('color', 0.005127402057567541), ('scores', 0.00504362302855608), ('use', 0.004973306847941398), ('many', 0.004648646726897617), ('early', 0.004494221121073901), ('festival', 0.004292420662074134), ('films', 0.004270925657648779)]","[170594, 20783, 25080, 26956, 2417230, 53233175, 608242, 32995490, 39540816]"
38,Arts & Entertainment>Movies>Comedy Films,"[('humor', 0.07238268493218558), ('black', 0.03921410548479115), ('romantic', 0.03764857216163912), ('playwright', 0.032705944673100215), ('screwball', 0.02598204318404524), ('breton', 0.02571123103165167), ('manners', 0.021652833990252814), ('comedy', 0.019778051909150562), ('films', 0.01825052114617811), ('love', 0.015421911603058176), ('comedy', 0.015067155327977576), ('wit', 0.014798859723460029), ('film', 0.013835909513879417), ('comedies', 0.013781866635796912), ('elements', 0.012436304568083166), ('british', 0.012126311258191453), ('example', 0.01180177408225824), ('audience', 0.011588898014591502), ('century', 0.011513108285070319), ('restoration', 0.011503669565311184), ('many', 0.01087234310250831), ('films', 0.010373937376453996), ('genre', 0.010300428702385619), ('man', 0.009886211247409737), ('comedies', 0.009829481065137717), ('class', 0.009296283847380292), ('topics', 0.008498336829261129), ('film', 0.008455817499668988), ('authors', 0.008355712532117672), ('writers', 0.008170687439718017), ('serious', 0.007775871591566729), ('cute', 0.0076093351919081335), ('characters', 0.007601891847550441), ('romance', 0.006972773074861907)]","[118365, 5644, 911884, 38898, 25531, 27037, 6858494]"
39,Arts & Entertainment>Movies>Cult & Indie Films,"[('feature', 0.10419711030997497), ('major', 0.08533316794631549), ('slogan', 0.054651549324717566), ('first', 0.052773406416948165), ('film', 0.044117237008428296), ('term', 0.03570586512979917), ('films', 0.03389160687214822), ('youtube', 0.029510632271568246), ('brooklyn', 0.028168387438828355), ('digital', 0.027198543817107085), ('%', 0.027182619826890776), ('film', 0.02671008936647057), ('budget', 0.02099391025863647), ('digital', 0.01911801448054262), ('time', 0.01902797453475698), ('low-budget', 0.017240937393935857), ('films', 0.01524043111570974), ('company', 0.014759814797339926), ('minutes', 0.014709109219495534), ('early', 0.013857688883736308), ('movie', 0.013562441082433565), ('work', 0.013491273835341992), ('independent', 0.012548452138909766), ('experimental', 0.012213377953835888), ('production', 0.012117601706108108), ('independent', 0.011897174427783382), ('studio', 0.011077722448169451), ('disney', 0.010650876713916286), ('director', 0.008964931509118722), ('successful', 0.008557110515843071), ('distribution', 0.008323960209239764), ('majors', 0.008192406084891782), ('joseph', 0.007746965771609274), ('many', 0.007643130636375756), ('time', 0.006406901177555744), ('production', 0.006298677452074868), ('number', 0.006199734435432595)]","[839756, 232963, 378695, 334279, 860198, 23663525, 698275, 12585272, 3425901]"
40,Arts & Entertainment>Movies>DVD & Video Shopping,"[('rental', 0.1264494974721482), ('video', 0.05393130879461649), ('internet', 0.038328888881002346), ('anime', 0.0374728069477425), ('film', 0.03339204635832079), ('players', 0.03143054297067485), ('titles', 0.02871218220032683), ('internet', 0.027262525385151812), ('company', 0.02647303478098078), ('mixtapes', 0.026100892649029844), ('new', 0.025143186325465448), ('series', 0.025109400380392187), ('videos', 0.024669744247199445), ('retail', 0.024045722766410864), ('ovas', 0.023998780678267165), ('audio', 0.023977096585774897), ('tv', 0.023324120706911425), ('stores', 0.022588034453217082), ('television', 0.02220389591382159), ('footage', 0.021833079384436467), ('shopnbc', 0.021395878939945386), ('movies', 0.02043129702050208), ('commerce', 0.01911821110958204), ('number', 0.018570356135534486), ('customer', 0.017706197748456977), ('mixtape', 0.01765524451538296), ('dvd', 0.017413992414192905), ('rentals', 0.016796594144524477), ('many', 0.016776501252810952), ('episode', 0.016088216736071675), ('ecommerce', 0.01591698074356782), ('market', 0.015723305530628003), ('cd', 0.01515459199545377), ('conversion', 0.015016868429185905), ('business', 0.014569252480036817), ('vcds', 0.014262695571382699), ('ova', 0.014022748607836132), ('format', 0.013968518048552795), ('television', 0.013282458677422006), ('dvd', 0.013166625865095986), ('store', 0.012962973719967212), ('stores', 0.012664339039254041), ('episodes', 0.012404759338778026), ('customer', 0.012236313711906241), ('disc', 0.01220233674183672), ('videos', 0.011034881858232166), ('rent', 0.010999760926728651), ('vhs', 0.010977758139265943), ('video', 0.010430675430809663), ('retailers', 0.009719995998536086), ('goods', 0.009424374199801853), ('film', 0.009257987404449497), ('customers', 0.009249981465011986), ('retailer', 0.00911062381682863), ('tapes', 0.00910696238986191), ('price', 0.008944366657655453), ('products', 0.008884136982017612), ('theatrical', 0.008697882302465921), ('product', 0.008317430322047355), ('markets', 0.007154397752153242), ('online', 0.0068376772048454664), ('customers', 0.005278513555046245), ('rental', 0.00519977037465919), ('companies', 0.004718038404428837)]","[186440, 3491011, 11014498, 183515, 2260392, 113012, 42803, 18948312, 13985458]"
41,Arts & Entertainment>Movies>DVD & Video Shopping>DVD & Video Rentals,"[('video', 0.24104865048505192), ('home', 0.12926173213112363), ('dates', 0.12926173213112363), ('television', 0.10026356404448362), ('shows', 0.10026356404448361), ('events', 0.10026356404448361), ('blockbuster', 0.04142361863536599), ('players', 0.04018477184022476), ('rental', 0.03356594304310927), ('property', 0.027373782581367564), ('films', 0.02133622387098128), ('stores', 0.01954455266435708), ('company', 0.0160404497845156), ('renter', 0.015965391014214656), ('release', 0.015628794215859325), ('video', 0.015588856905332335), ('term', 0.014723892701737107), ('real', 0.01324646948044358), ('estate', 0.012736507586670434), ('dvd-video', 0.01211026635746402), ('agreement', 0.011458606887097402), ('rent', 0.010980299456814278), ('format', 0.01078148247976081), ('tenant', 0.010630284948096645), ('disc', 0.010395210513107185), ('dvd', 0.010207751011290877), ('discs', 0.01002482190653853), ('direct-to-video', 0.009997943580696427), ('studios', 0.008973925166809968), ('audio', 0.008704982754576122), ('itunes', 0.008572894347112142), ('movie', 0.008349238697702014), ('store', 0.008076947937116677), ('software', 0.008043687926168492), ('releases', 0.00795742404050528), ('content', 0.007919993479125696), ('subtitles', 0.0076918307333602), ('film', 0.007216610400775763), ('new', 0.006012473872467606), ('service', 0.005947243293136824), ('uk', 0.005870879652620639), ('online', 0.0049269463077658395), ('games', 0.004766582422330234), ('rental', 0.0042563159768716705)]","[292805, 3285080, 1570813, 18938049, 221720, 1846352]"
42,Arts & Entertainment>Movies>Documentary Films,"[('city', 0.15393266358161958), ('films', 0.14839639286127337), ('york', 0.09402580695995522), ('time', 0.067394448981389), ('true', 0.058368582881890056), ('document', 0.05477923907652263), ('new', 0.05345742538298284), ('series', 0.051337236760334526), ('television', 0.04877035547351863), ('documents', 0.04066487804076438), ('century', 0.03671057958565032), ('grierson', 0.036567996433511), ('unit', 0.03400872627058616), ('digital', 0.03136733051759845), ('first', 0.030972906509963986), ('filmmakers', 0.030722744338983497), ('documentaries', 0.03040908709894203), ('beetle', 0.025106821151637572), ('factual', 0.02474122518321597), ('anstey', 0.023716647115102397), ('film', 0.02330376472200406), ('rotha', 0.02320600539175075), ('times', 0.022485460471584055), ('documentary', 0.022470204420663508), ('period', 0.02140928224740097), ('philosophy', 0.021388976572498823), ('world', 0.0204166734815794), ('g.', 0.020201876004294534), ('genre', 0.01913787984885799), ('films', 0.01710831235748069), ('form', 0.016791084520386235), ('subject', 0.014863896242288663), ('e.', 0.013922557826251482), ('evidence', 0.013265463398885319), ('reality', 0.012989635976471764), ('earliest', 0.012924716307213875), ('documentaries', 0.012886675367639754), ('fierlinger', 0.012810945229375828), ('natural', 0.012539123445775317), ('world', 0.012214627123573775), ('existence', 0.011992506467906653), ('documentary', 0.011925872134030041), ('forms', 0.011514619594238109), ('ancient', 0.011370081439562725), ('word', 0.011266836831227922), ('realism', 0.011108593187945041), ('television', 0.011065024993042936), ('real', 0.011058243594165141), ('filmmakers', 0.010937793254195485), ('film', 0.010212400500903801), ('information', 0.008929434273616138), ('sources', 0.008815898931938456), ('theory', 0.008732776381067349), ('view', 0.008658502824743576), ('animation', 0.008405420150155446), ('time', 0.007725752373914719), ('quantum', 0.007479877120531684), ('animated', 0.006941253079146911), ('philosophers', 0.006896373517499818), ('history', 0.00682109290979828), ('historical', 0.006364913149524829), ('bce', 0.006318420359814706), ('historians', 0.0057511679524602545), ('events', 0.00430353681026414), ('nonfiction', 0.003666555725150644), ('fiction', 0.0035935857707469565), ('information', 0.0035521925221943746), ('literary', 0.0035188916195624206), ('work', 0.0034997931905070543), ('works', 0.003464214307567254)]","[161228, 8088, 21857, 43854, 4843981, 18359721, 2071490, 4026595, 26294297]"
43,Arts & Entertainment>Movies>Drama Films,"[('”', 0.12916770633338895), ('love', 0.07238749336439694), ('romantic', 0.06549930663501864), ('period', 0.04300711440688942), ('legal', 0.04243139662807776), ('sense', 0.04165620951560517), ('drama', 0.03949261982110867), ('domestic', 0.037581089553888655), ('dramas', 0.03433480194357941), ('film', 0.030922941263662206), ('broader', 0.030871253872340635), ('television', 0.029973743436923307), ('stories', 0.028289637386177235), ('romance', 0.02713748615197781), ('serious', 0.02442943817998244), ('describe', 0.02436717695648972), ('historical', 0.024358884825156184), ('films', 0.024058904576166433), ('“', 0.022238259718178437), ('strong', 0.019287484667390525), ('crime', 0.01880328615479421), ('trial', 0.01848099311800853), ('people', 0.018421373927608068), ('piece', 0.01785995342509602), ('life', 0.017721317506032508), ('audience', 0.017498334379200613), ('film', 0.01731373146126247), ('court', 0.017165925521401885), ('focus', 0.017056709885066808), ('characters', 0.015979267247140588), ('main', 0.015721759679733355), ('drama', 0.015099979747367234), ('middle', 0.014883233551539095), ('films', 0.01450599953529901), ('society', 0.01371751959821478), ('law', 0.01199200455993973), ('many', 0.011877853249586113), ('shows', 0.010955642903733685), ('people', 0.010285849879153463), ('dramas', 0.009769303639422815)]","[11226549, 25584621, 1376711, 62000, 522822]"
44,Arts & Entertainment>Movies>Family Films,"[('list', 0.41606311452439126), ('film', 0.2919684427378043), ('family', 0.2919684427378043), ('important', 0.0936264476007547), ('kapoor', 0.08587271728819375), ('family', 0.036435983355335405), ('films', 0.03282522207348818), ('film', 0.030642092928104707), ('children', 0.03019470933171066), ('cinema', 0.026201006645289404), ('indian', 0.024642321269691025), ('addams', 0.022354722571027587), ('prithviraj', 0.021147318425591102), ('actors', 0.02086714184309364), ('son', 0.019741187212759536), ('fester', 0.0194326667877881), ('gomez', 0.015509597812757294), ('morticia', 0.01356035911318554), ('child', 0.012915346408156942), ('gordon', 0.011894910316193582), ('abigail', 0.00995356863839298), ('motion', 0.008991688788125701), ('vault', 0.008481564203137707), ('war', 0.007560691670499007), ('wednesday', 0.007005201703326992), ('disney', 0.006372720718546587), ('decade', 0.005605039980847017), ('films', 0.00485369728878241), ('children', 0.004350381511819879)]","[36303581, 4252980, 26742350, 39574599, 43520693, 644723, 3142279, 1682805, 12632094]"
45,Arts & Entertainment>Movies>Horror Films,"[('science', 0.04666496083828432), ('psychological', 0.04132563817778162), ('horror', 0.0392679431010213), ('fiction', 0.03777335468609978), ('thriller', 0.021977190182119508), ('characters', 0.01954223326600551), ('film', 0.015161853522083952), ('thrillers', 0.014158115852124814), ('alien', 0.014069619690405034), ('series', 0.013222482697319125), ('genre', 0.010885537285887367), ('first', 0.010177794423886303), ('hitchcock', 0.00980598494071119), ('genre', 0.009107994053877851), ('fear', 0.009029832381869215), ('example', 0.008578524619524068), ('plot', 0.008310217651271096), ('films', 0.007886325374617335), ('director', 0.006968485384736042), ('time', 0.006669182225083573), ('tension', 0.006306376352820733), ('star', 0.006034962973545204), ('man', 0.005989594057586982), ('world', 0.005588199506465052), ('movies', 0.005465960123264717), ('films', 0.005226995875983931), ('film', 0.0051453512543986465)]","[13451, 50702446, 179757, 28148882, 356304]"
46,Arts & Entertainment>Movies>Movie Memorabilia,"[('warner', 0.16499652566537137), ('current', 0.15060546923643392), ('owners', 0.1474318728505483), ('film', 0.1474318728505483), ('collectors', 0.14123391274840594), ('posters', 0.12798665898803152), ('poster', 0.046883149901431), ('movie', 0.04257407373684036), ('prop', 0.03629437956968235), ('props', 0.028814671643879047), ('lobby', 0.024509305372125523), ('items', 0.021762103677444758), ('term', 0.021007774923375265), ('memorabilia', 0.020625067971608554), ('first', 0.020025533788718533), ('production', 0.019893268814233245), ('store', 0.019270842163792327), ('stage', 0.01845048874231658), ('brandt', 0.01732758842421394), ('wife', 0.015704342689049144), ('auction', 0.015486671539124672), ('hollywood', 0.015289559065317943), ('costumes', 0.013371362387518603), ('eddie', 0.01324210053171874), ('war', 0.012035703242775319), ('property', 0.01186224598007947), ('film', 0.011855514514629517), ('auctions', 0.01069402583651898), ('television', 0.010630748574303354), ('community', 0.01055780611703476), ('dress', 0.010495006635253799), ('cards', 0.010454372774778512), ('several', 0.010284982866804829), ('block', 0.010164467528083148), ('characters', 0.009229333111841301), ('sets', 0.007903939902467077), ('memorabilia', 0.007025898025146462), ('last', 0.006965816267528831)]","[5711479, 1935496, 32258677, 83597, 639072, 937531, 39050967, 37224675]"
47,Arts & Entertainment>Movies>Movie Reference,"[('fictional', 0.08003560455558559), ('frame', 0.07847952518248712), ('episode', 0.07582311260883229), ('films', 0.06991652002076933), ('versions', 0.06638099878466044), ('grön', 0.06494404663603413), ('ebba', 0.05084184526203481), ('work', 0.04875026722009369), ('films', 0.039687623169680705), ('pixar', 0.0391975274145245), ('twista', 0.03690591657049897), ('movie', 0.03491161590918908), ('cameras', 0.03300296787270905), ('movie', 0.03032181796441778), ('references', 0.029529185886246985), ('brown', 0.026079851797521657), ('century', 0.02546946868630077), ('priscilla', 0.02363616349270868), ('song', 0.0229071893935752), ('janey', 0.02162786325559733), ('chris', 0.020213950531144973), ('john', 0.019828285825703017), ('track', 0.018980975403410715), ('audience', 0.016569128297690968), ('gass', 0.01648196032055085), ('french', 0.01486817260500605), ('story', 0.014815149247157204), ('toy', 0.014768304733768865), ('company', 0.014511249341932294), ('jake', 0.014210075540542447), ('slow', 0.01405872740362393), ('cars', 0.013848320107081181), ('storm', 0.013633564207247642), ('characters', 0.012469240472470451), ('theatres', 0.011270682493956246), ('show', 0.010445693741494603), ('character', 0.01021914002861531), ('palaces', 0.009920158027469572), ('series', 0.009873901406722597), ('game', 0.009836735269224793), ('austin', 0.009726157386545899), ('palace', 0.008932743532488059), ('prom', 0.008901272896324934), ('theater', 0.00888136140629324), ('pictures', 0.008065125364339357), ('american', 0.007892785511645174), ('film', 0.007863196631417064), ('camera', 0.007393875121835079), ('picture', 0.007388464635102354), ('single', 0.007054492674731757), ('fourth', 0.006707483114693424), ('actors', 0.006676383218456419), ('models', 0.006465920686016261), ('system', 0.005966479725541121), ('mm', 0.005561986913223531), ('metafiction', 0.005496415318672694), ('fiction', 0.005482911303524739), ('film', 0.0053898804465141465), ('novel', 0.005283197121956525)]","[29166225, 1299072, 292910, 1519350, 199539, 2560639, 1558991, 4299450, 597452, 29890773]"
48,Arts & Entertainment>Movies>Movie Reference>Movie Reviews & Previews,"[('film', 0.06528201340757768), ('film', 0.05679375335857277), ('official', 0.041316840416698496), ('term', 0.04019313817606568), ('screenings', 0.037135458529500655), ('opportunities', 0.035097957000621204), ('preview', 0.029390079983254744), ('improvement', 0.023661866289861076), ('problems', 0.023660392460033736), ('live', 0.023589997111729214), ('exposure', 0.020129592399028423), ('cameras', 0.017310596002939355), ('preview', 0.014441153907898187), ('view', 0.014113109994168692), ('canon', 0.013225445109097041), ('test', 0.01274602994484897), ('dslrs', 0.012200018008212719), ('dslr', 0.012160678708286117), ('release', 0.011905874161341022), ('audience', 0.011351382858536978), ('special', 0.01127787097008032), ('feature', 0.01080604510822598), ('viewers', 0.010509203016073304), ('theaters', 0.010173464157003986), ('first', 0.010113061083099919)]","[75890, 6905204, 20949159, 853744, 7937506, 8460291]"
49,Arts & Entertainment>Movies>Musical Films,"[('bollywood', 0.274374666937169), ('list', 0.20327560281730864), ('soviet', 0.11718377816457781), ('productions', 0.10365467585456711), ('theatre', 0.07499375089315255), ('international', 0.057665729170200186), ('jukebox', 0.039625567400750336), ('hollywood', 0.038751333560686246), ('performances', 0.036039080850377506), ('beatles', 0.031730737293384575), ('popular', 0.025214530027884742), ('films', 0.022943527581649085), ('musical', 0.021753302796854876), ('music', 0.018577128797984822), ('films', 0.01849056389617639), ('short', 0.018021438425363984), ('paramount', 0.017339878150428836), ('shorts', 0.017238412529569994), ('musical', 0.01649125112451048), ('children', 0.014803366504353162), ('film', 0.01428285634024114), ('musicals', 0.013947101304612734), ('best', 0.01193270241129814), ('film', 0.011364091581129363), ('orchestra', 0.010721002849449185), ('victory', 0.007977568452584172), ('opera', 0.0079634494781003), ('popular', 0.007954769211954524), ('days', 0.0077036591877386205), ('stage', 0.007618901085109669), ('broadway', 0.006969120437009315), ('director', 0.005379975151887762), ('show', 0.005289573835442727), ('music', 0.005101525045986157), ('theatre', 0.004912201711218932), ('stage', 0.0048737998243975), ('new', 0.004486485945114725), ('autism', 0.004460343116215316), ('documentary', 0.004386883236078659), ('shows', 0.004303279560223768), ('parents', 0.004079670395507422)]","[725252, 3508629, 19029, 20572, 9031647, 6165282, 20818, 17916952, 15703651]"
50,Arts & Entertainment>Movies>Romance Films,"[('films', 0.07194384628833066), ('gothic', 0.03621189563371277), ('film', 0.03521797108374402), ('passion', 0.03168476840423744), ('romance', 0.02781074794570597), ('film', 0.024393912454252986), ('feminine', 0.023858240021188942), ('sex', 0.022487220062514662), ('original', 0.019310790101542886), ('fear', 0.01774715115101519), ('romance', 0.017348329741553238), ('rating', 0.017002878696452284), ('australia', 0.01638531979620637), ('version', 0.01628021481125594), ('directors', 0.016250166644026617), ('house', 0.016083046388892783), ('series', 0.015049093295955883), ('passions', 0.011359512223472857), ('work', 0.010476110214191002), ('hobby', 0.008289746296496007), ('person', 0.008031711470132206), ('individuals', 0.00784663970730557), ('individual', 0.007319695574960487), ('desire', 0.007206635076846148), ('emotion', 0.007096660868364451), ('occupation', 0.007069696244478416)]","[24092404, 1329397, 569867, 228460, 48222033]"
51,Arts & Entertainment>Movies>Science Fiction & Fantasy Films,"[('story', 0.0842833665218127), ('authors', 0.08165631130928709), ('time', 0.07991833250057881), ('many', 0.06935512787265874), ('science', 0.0682955672449223), ('first', 0.06239572618954475), ('elements', 0.06105115180982306), ('fiction', 0.05420940320370518), ('term', 0.04781282143835873), ('series', 0.045815945685882334), ('novels', 0.04175442235468913), ('genres', 0.04087238771554323), ('science', 0.037364709929290876), ('fantasies', 0.03615386095996405), ('genre', 0.03190407945473926), ('fiction', 0.02769331742228045), ('space', 0.0251271610287985), ('world', 0.02244029634743993), ('place', 0.022365807832867183), ('elements', 0.021645635408626334), ('future', 0.021278124260085574), ('characteristic', 0.02048535251640376), ('novel', 0.017931825719465416), ('speculative', 0.017908230526337898), ('writers', 0.01668326750371416), ('genre', 0.015796897851619036), ('novel', 0.01399220439627669), ('machine', 0.013356980340075085), ('several', 0.012815344389177842), ('films', 0.011775262117551885), ('sense', 0.011430760423227986), ('fantasy', 0.01051848910293116), ('film', 0.010165322710749169), ('history', 0.009951608782617544), ('recursive', 0.008932906588152356), ('time', 0.007485084773123582), ('stories', 0.006606471069102844), ('scientific', 0.006338373314523551), ('man', 0.006101575800786383), ('writers', 0.0056852732538512285), ('many', 0.005571784273824607), ('sf', 0.005549078756521181), ('new', 0.00511556713134045), ('stories', 0.004290329624781214), ('century', 0.004202018183266962), ('series', 0.003705252242533787)]","[23534170, 11741, 3387802, 26787, 155690, 300649, 28920721, 2453923, 31984837]"
52,"Arts & Entertainment>Movies>Thriller, Crime & Mystery Films","[('films', 0.3333333333333333), ('list', 0.3333333333333333), ('thrillers', 0.3333333333333333), ('mystery', 0.05584260395890332), ('fiction', 0.027140988594456652), ('erotic', 0.02637528282837455), ('courtroom', 0.021730191989978855), ('films', 0.018309460243699234), ('thriller', 0.017608127340262583), ('genre', 0.015113338342502999), ('thriller', 0.014956189030224313), ('crime', 0.01479128808581587), ('man', 0.01440166485323395), ('novels', 0.013200226206820388), ('court', 0.012493751517903825), ('film', 0.012231106043731618), ('genre', 0.011347568728453494), ('different', 0.010765309702090548), ('drama', 0.01052811546048303), ('authors', 0.010109316811768321), ('film', 0.009668891151018613), ('people', 0.009450756822785839), ('time', 0.009387020524336157), ('titles', 0.009278338051277283), ('suspense', 0.00916983504040351), ('thrillers', 0.009130824188615454), ('common', 0.008984063437539793), ('tv', 0.008345091057146313), ('police', 0.008312542790018237), ('young', 0.008058450499827317), ('night', 0.007951977829865705), ('mystery', 0.007859664715730717), ('many', 0.007686030621866959), ('dark', 0.007218085700189426), ('eyes', 0.006921610375466257), ('girl', 0.006801123529257739), ('story', 0.005842613629800382), ('prison', 0.005162661749022234), ('crime', 0.005145217637571043), ('characters', 0.004735641068187779)]","[408001, 32182981, 540763, 237274, 86025, 193291, 6738206]"
